response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,2X,2,1,GW,positive_QTL,DV,0.130828633946216,0.00576834677914857,Inf,22.6804384263331,6.98893502989943e-114
QTL fixation,2 - 200,Peri,2X,2,1,GW,positive_QTL,DV,0.130836085160516,0.00576834677914847,Inf,22.6817301680725,6.78675794130563e-114
QTL fixation,2 - 200,WT,2X,2,1,GW,positive_QTL,DV,0.123873689914047,0.00576834677914851,Inf,21.4747300494879,2.6827411573918e-102
QTL fixation,2 - 200,Chr,20X,8,1,GW,positive_QTL,DV,0.105144856592054,0.00576834677914845,Inf,18.2279014451999,3.09989768883435e-74
QTL fixation,2 - 200,Peri,20X,8,1,GW,positive_QTL,DV,0.11149598393274,0.00576834677914844,Inf,19.3289322229686,3.06699712276211e-83
QTL fixation,2 - 200,WT,20X,8,1,GW,positive_QTL,DV,0.105394527788286,0.00576834677914844,Inf,18.2711844179113,1.40370748781773e-74
QTL fixation,2 - 200,Chr,2X,8,1,GW,positive_QTL,DV,0.10553565956234,0.00576834677914854,Inf,18.295651007639,8.96240726714848e-75
QTL fixation,2 - 200,Peri,2X,8,1,GW,positive_QTL,DV,0.105902673486584,0.00576834677914837,Inf,18.3592765035218,2.78290031463573e-75
QTL fixation,2 - 200,WT,2X,8,1,GW,positive_QTL,DV,0.103383775849536,0.00576834677914831,Inf,17.9226006701353,7.8567745428147e-72
QTL fixation,2 - 200,Chr,20X,2,2,GW,positive_QTL,DV,0.0486124474166941,0.00576834677914853,Inf,8.42744884763496,3.53282630177073e-17
QTL fixation,2 - 200,Peri,20X,2,2,GW,positive_QTL,DV,0.0574567451563437,0.00576834677914852,Inf,9.96069538746161,2.26473034428231e-23
QTL fixation,2 - 200,WT,20X,2,2,GW,positive_QTL,DV,0.0737415905719938,0.00576834677914854,Inf,12.783834501517,2.0186627719702e-37
QTL fixation,2 - 200,Chr,2X,2,2,GW,positive_QTL,DV,0.0648512782532425,0.00576834677914858,Inf,11.2426108790246,2.51822585745613e-29
QTL fixation,2 - 200,Peri,2X,2,2,GW,positive_QTL,DV,0.0676017404588523,0.00576834677914837,Inf,11.7194307220262,1.01350758053678e-31
