response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,4 - 5,GW,2X,Chr,200,2,negative_QTL,DV,-0.0261269608216046,0.00576834677914847,Inf,-4.52936722113324,5.80343323518529e-05
QTL fixation,1 - 2,CV,20X,Peri,200,2,negative_QTL,DV,-0.257429861120199,0.00576834677914841,Inf,-44.6280140526163,0
QTL fixation,1 - 3,CV,20X,Peri,200,2,negative_QTL,DV,-0.339920251652118,0.00576834677914847,Inf,-58.9285396087607,0
QTL fixation,1 - 4,CV,20X,Peri,200,2,negative_QTL,DV,-0.345179926727866,0.00576834677914848,Inf,-59.8403563349604,0
QTL fixation,1 - 5,CV,20X,Peri,200,2,negative_QTL,DV,-0.366406391670647,0.00576834677914842,Inf,-63.5201740982603,0
QTL fixation,2 - 3,CV,20X,Peri,200,2,negative_QTL,DV,-0.0824903905319183,0.00576834677914856,Inf,-14.3005255561446,0
QTL fixation,2 - 4,CV,20X,Peri,200,2,negative_QTL,DV,-0.0877500656076669,0.00576834677914856,Inf,-15.2123422823444,0
QTL fixation,2 - 5,CV,20X,Peri,200,2,negative_QTL,DV,-0.108976530550447,0.00576834677914852,Inf,-18.8921600456437,0
QTL fixation,3 - 5,CV,20X,Peri,200,2,negative_QTL,DV,-0.0264861400185291,0.00576834677914854,Inf,-4.59163448949904,4.32239092550413e-05
QTL fixation,4 - 5,CV,20X,Peri,200,2,negative_QTL,DV,-0.0212264649427805,0.00576834677914855,Inf,-3.67981776329919,0.00217370266855388
QTL fixation,1 - 2,GW,20X,Peri,200,2,negative_QTL,DV,-0.256246530618449,0.0057683467791486,Inf,-44.422871999431,0
QTL fixation,1 - 3,GW,20X,Peri,200,2,negative_QTL,DV,-0.338977176211527,0.00576834677914858,Inf,-58.7650481480867,0
QTL fixation,1 - 4,GW,20X,Peri,200,2,negative_QTL,DV,-0.334437738455943,0.0057683467791486,Inf,-57.9780916890897,0
QTL fixation,1 - 5,GW,20X,Peri,200,2,negative_QTL,DV,-0.36484771696206,0.00576834677914853,Inf,-63.2499624122659,0
QTL fixation,2 - 3,GW,20X,Peri,200,2,negative_QTL,DV,-0.0827306455930786,0.00576834677914864,Inf,-14.3421761486554,0
QTL fixation,2 - 4,GW,20X,Peri,200,2,negative_QTL,DV,-0.0781912078374942,0.00576834677914863,Inf,-13.5552196896586,0
QTL fixation,2 - 5,GW,20X,Peri,200,2,negative_QTL,DV,-0.108601186343611,0.00576834677914856,Inf,-18.8270904128342,0
QTL fixation,3 - 5,GW,20X,Peri,200,2,negative_QTL,DV,-0.0258705407505324,0.00576834677914853,Inf,-4.48491426417869,7.14492585855986e-05
QTL fixation,4 - 5,GW,20X,Peri,200,2,negative_QTL,DV,-0.0304099785061169,0.00576834677914855,Inf,-5.27187072317549,1.34352011904593e-06
QTL fixation,1 - 2,CV,2X,Peri,200,2,negative_QTL,DV,-0.260249663699396,0.00576834677914852,Inf,-45.1168547355976,0
QTL fixation,1 - 3,CV,2X,Peri,200,2,negative_QTL,DV,-0.350402053595323,0.00576834677914852,Inf,-60.7456637076606,0
QTL fixation,1 - 4,CV,2X,Peri,200,2,negative_QTL,DV,-0.356697509031982,0.00576834677914858,Inf,-61.8370432099146,0
QTL fixation,1 - 5,CV,2X,Peri,200,2,negative_QTL,DV,-0.375009015772023,0.00576834677914854,Inf,-65.0115241211932,0
QTL fixation,2 - 3,CV,2X,Peri,200,2,negative_QTL,DV,-0.0901523898959275,0.00576834677914852,Inf,-15.6288089720631,0
QTL fixation,2 - 4,CV,2X,Peri,200,2,negative_QTL,DV,-0.0964478453325864,0.00576834677914855,Inf,-16.7201884743176,0
QTL fixation,2 - 5,CV,2X,Peri,200,2,negative_QTL,DV,-0.114759352072627,0.00576834677914848,Inf,-19.8946693855961,0
QTL fixation,3 - 5,CV,2X,Peri,200,2,negative_QTL,DV,-0.0246069621766994,0.00576834677914846,Inf,-4.2658604135329,0.000193341269725145
QTL fixation,4 - 5,CV,2X,Peri,200,2,negative_QTL,DV,-0.0183115067400405,0.00576834677914856,Inf,-3.17448091127825,0.0130412689254361
QTL fixation,1 - 2,GW,2X,Peri,200,2,negative_QTL,DV,-0.254957023491391,0.00576834677914864,Inf,-44.1993231774841,0
QTL fixation,1 - 3,GW,2X,Peri,200,2,negative_QTL,DV,-0.342118514636524,0.00576834677914859,Inf,-59.3096302519837,0
QTL fixation,1 - 4,GW,2X,Peri,200,2,negative_QTL,DV,-0.343825167597264,0.00576834677914858,Inf,-59.6054954324388,0
QTL fixation,1 - 5,GW,2X,Peri,200,2,negative_QTL,DV,-0.367479225498659,0.00576834677914853,Inf,-63.7061604595317,0
QTL fixation,2 - 3,GW,2X,Peri,200,2,negative_QTL,DV,-0.0871614911451333,0.00576834677914871,Inf,-15.1103070744988,0
QTL fixation,2 - 4,GW,2X,Peri,200,2,negative_QTL,DV,-0.0888681441058731,0.00576834677914865,Inf,-15.406172254954,0
QTL fixation,2 - 5,GW,2X,Peri,200,2,negative_QTL,DV,-0.112522202007269,0.0057683467791486,Inf,-19.5068372820465,0
QTL fixation,3 - 5,GW,2X,Peri,200,2,negative_QTL,DV,-0.0253607108621353,0.00576834677914855,Inf,-4.39653020754739,0.000107394709200848
QTL fixation,4 - 5,GW,2X,Peri,200,2,negative_QTL,DV,-0.0236540579013955,0.00576834677914857,Inf,-4.10066502709238,0.00039651878152358
QTL fixation,1 - 2,CV,20X,WT,200,2,negative_QTL,DV,-0.26203087999987,0.00576834677914846,Inf,-45.4256462089042,0
QTL fixation,1 - 3,CV,20X,WT,200,2,negative_QTL,DV,-0.351944903523127,0.0057683467791485,Inf,-61.0131320112969,0
QTL fixation,1 - 4,CV,20X,WT,200,2,negative_QTL,DV,-0.360311401783378,0.00576834677914847,Inf,-62.463547282878,0
QTL fixation,1 - 5,CV,20X,WT,200,2,negative_QTL,DV,-0.378034620668063,0.00576834677914843,Inf,-65.5360426725023,0
